date,cum_portfolio,cum_btc
2024-01-07,1.006425706108765,0.9348871150472535
2024-01-14,1.0150646184580476,0.8645748442398108
2024-01-21,1.2249022169339503,0.9312760878329522
2024-01-28,1.313969784684643,0.9338943599590291
2024-02-04,1.558937968453306,1.0774154506239746
2024-02-11,1.672367807461356,1.1327160086254018
2024-02-18,1.8089125418676957,1.2367006240154286
2024-02-25,2.913566819237005,1.3838150679774643
2024-03-03,3.776581708267837,1.5484446878724774
2024-03-10,2.9975425780561844,1.3419891980484582
2024-03-17,4.9305889750342065,1.5165413810103818
2024-03-24,4.42686674106226,1.4186781506022406
2024-03-31,4.693290453408381,1.4979026860107219
2024-04-07,4.300780107343206,1.3829819537983157
2024-04-14,4.567987301905357,1.4391080459819106
2024-04-21,4.622877405727933,1.314082475358656
2024-04-28,4.861310357753113,1.3508209833804787
2024-05-05,4.904541753844002,1.3342816071344303
2024-05-12,5.886299319725832,1.5198854059188862
2024-05-19,6.46797950092476,1.480769435774633
2024-05-26,6.284146523299676,1.52842381723923
2024-06-02,5.401125176969165,1.459031603054636
2024-06-09,5.247632686938094,1.4119629547462258
2024-06-16,5.4838546182516,1.3392863279501037
2024-06-23,5.59577859621577,1.3445825505215676
2024-06-30,5.261745633844518,1.2583571417257298
2024-07-07,5.396605551534841,1.410171070878962
2024-07-14,5.188458221366865,1.428946856649214
2024-07-21,5.192155535498769,1.4342522090482885
2024-07-28,4.485750117460377,1.2153637454140436
2024-08-04,4.740463495577204,1.3134853516013982
2024-08-11,4.745903145028061,1.2794208977320298
2024-08-18,6.040936946319817,1.288551916097244
2024-08-25,5.979335685043046,1.246066748542384
2024-09-01,5.936211500699574,1.2489753787387663
2024-09-08,5.730724650353392,1.3072811082612366
2024-09-15,5.855673189348103,1.3931244144087926
2024-09-22,5.7342686767513875,1.3178172278487341
2024-09-29,9.423842210502364,1.3463073040395837
2024-10-06,10.377662040800796,1.4526571734275737
2024-10-13,10.139990653000378,1.460136808893806
2024-10-20,11.287591796120088,1.5754219095982562
2024-10-27,10.19527118925337,1.5033771099688007
2024-11-03,14.985017807273461,1.9077659394613742
2024-11-10,19.310582481100436,2.00170886361451
2024-11-17,21.412392835629294,1.9918968862678192
2024-11-24,28.404197426859138,2.077078583514194
2024-12-01,28.405399318786117,2.0940880387669765
2024-12-08,28.664197381051903,2.3001628703858263
2024-12-15,31.63524228415986,2.1371843108727258
2024-12-22,32.93281767780677,2.0244272063760187
2024-12-29,32.370834827495344,2.100968762611145
2025-01-05,32.50567565695711,2.0918565029255007
2025-01-12,36.44426651155387,2.3005805234236147
2025-01-19,35.38031589079413,2.1946863615712715
2025-01-26,34.66614632136301,2.1189422363568196
2025-02-02,34.0627176741797,2.0761192367432884
2025-02-09,35.374535405930125,2.0727447496591234
2025-02-16,34.56703027249114,1.9214511883777967
2025-02-23,35.26059230171996,1.8918590419254753
2025-03-02,35.27540454677461,1.7974670999920346
2025-03-09,37.96928614994407,1.792680051203283
2025-03-16,42.310461653413185,1.8942671653675232
2025-03-23,47.52007699255901,1.8454560942310523
2025-03-30,58.495536670427164,1.6524028888049307
2025-04-06,57.84804667688011,1.812599614401946
2025-04-13,56.665075383975896,2.02502922699723
2025-04-20,62.29904535193347,2.042995774434431
2025-04-27,70.23660106847916,2.0986199427361742
2025-05-04,81.17729894319305,2.2557566854062587
2025-05-11,83.27312251975184,2.315343575072172
2025-05-18,91.11047262015343,2.3608175581174233
2025-05-25,88.79051765464655,2.284445229683926
2025-06-01,94.72798849475606,2.3886472160500722
2025-06-08,81.09538428102701,2.2661514207880677
2025-06-15,79.90173343896991,2.2995489361827506
2025-06-22,80.44628455732793,2.290719541045059
2025-06-29,81.23954937861673,2.360018482429375
2025-07-06,86.85389696897754,2.5510119975496046
2025-07-13,86.61398398961056,2.5990213065686176
2025-07-20,77.25627759523488,2.5551658463498286
2025-07-27,71.8815751789376,2.506371831365266
