date,portfolio_drawdown,btc_drawdown
2024-01-07,0.0,0.0
2024-01-14,0.0,-0.07520936985412274
2024-01-21,0.0,-0.0038625275246400026
2024-01-28,0.0,-0.0010618983535506388
2024-02-04,0.0,0.0
2024-02-11,0.0,0.0
2024-02-18,0.0,0.0
2024-02-25,0.0,0.0
2024-03-03,0.0,0.0
2024-03-10,-0.20628155045769314,-0.13333087803587196
2024-03-17,0.0,-0.02060345268511321
2024-03-24,-0.10216269020243207,-0.0838044382770512
2024-03-31,-0.04812782465287102,-0.032640495496935595
2024-04-07,-0.12773501723222247,-0.10685737460955302
2024-04-14,-0.07354124932434336,-0.0706106215784772
2024-04-21,-0.06240868400597899,-0.15135329944257092
2024-04-28,-0.014050779254138224,-0.12762722881856914
2024-05-05,-0.0052827808852233815,-0.13830851202848038
2024-05-12,0.0,-0.01844385025649886
2024-05-19,0.0,-0.043705308060327464
2024-05-26,-0.02842200993351951,-0.01292966470811141
2024-06-02,-0.16494398657309617,-0.05774380287402625
2024-06-09,-0.18867512084912863,-0.0881411742990793
2024-06-16,-0.15215337069829216,-0.1350764167170555
2024-06-23,-0.13484905210109077,-0.13165606685700282
2024-06-30,-0.1864931493533306,-0.1873412388693847
2024-07-07,-0.16564275586166266,-0.08929838958826464
2024-07-14,-0.1978239540454566,-0.07717281228007578
2024-07-21,-0.1972523204879637,-0.07374656629232668
2024-07-28,-0.3064680992234088,-0.21510677460237748
2024-08-04,-0.2670874273953039,-0.1517389275259855
2024-08-11,-0.2662464152291276,-0.1737380690750273
2024-08-18,-0.06602410452041274,-0.16784117237814877
2024-08-25,-0.07554813923140136,-0.19527848924687963
2024-09-01,-0.08221547395893203,-0.1934000687781583
2024-09-08,-0.11398534124388593,-0.15574568565480584
2024-09-15,-0.09466732408306378,-0.1003072790911832
2024-09-22,-0.11343740716377815,-0.1489413615029539
2024-09-29,0.0,-0.13054220497254265
2024-10-06,0.0,-0.061860468891861586
2024-10-13,-0.02290220927083475,-0.05703005065037492
2024-10-20,0.0,0.0
2024-10-27,-0.09677180275443553,-0.04573047968326627
2024-11-03,0.0,0.0
2024-11-10,0.0,0.0
2024-11-17,0.0,-0.004901800419154445
2024-11-24,0.0,0.0
2024-12-01,0.0,0.0
2024-12-08,0.0,0.0
2024-12-15,0.0,-0.07085522578049563
2024-12-22,0.0,-0.1198765824628567
2024-12-29,-0.01706452377714829,-0.08660000139088797
2025-01-05,-0.01297010249862418,-0.09056157289652478
2025-01-12,0.0,0.0
2025-01-19,-0.029193909566610055,-0.04602932206639587
2025-01-26,-0.04879012147568251,-0.07895324037451634
2025-02-02,-0.0653476956826432,-0.09756723765803843
2025-02-09,-0.029352521206171378,-0.0990340357334839
2025-02-16,-0.05150978243635651,-0.16479724625400882
2025-02-23,-0.0324790240862346,-0.17766015026933268
2025-03-02,-0.03207258854856354,-0.21868976908613946
2025-03-09,0.0,-0.22077056944935725
2025-03-16,0.0,-0.17661340427738448
2025-03-23,0.0,-0.19783025395488785
2025-03-30,0.0,-0.28174524995721373
2025-04-06,-0.011069049544670584,-0.21211207521459785
2025-04-13,-0.03129232400694715,-0.11977468018216664
2025-04-20,0.0,-0.11196510896556588
2025-04-27,0.0,-0.08778679060835148
2025-05-04,0.0,-0.01948370750816031
2025-05-11,0.0,0.0
2025-05-18,0.0,0.0
2025-05-25,-0.025463098794130445,-0.03234994935161306
2025-06-01,0.0,0.0
2025-06-08,-0.14391316051732406,-0.05128249765763515
2025-06-15,-0.156513985901927,-0.03730072790516836
2025-06-22,-0.1507654090872914,-0.04099712772443176
2025-06-29,-0.1423912755931266,-0.011985333551280397
2025-07-06,-0.0831231788080713,0.0
2025-07-13,-0.08565583027865808,0.0
2025-07-20,-0.18444085192929416,-0.01687383635830586
2025-07-27,-0.24117912434172706,-0.03564783211634104
